userName,Customer_Name,Age,Occupation,Credit_Card_number,Street,City,State,Zipcode
Antony,Antony,41,Teacher,4894-8463-1843-1464,Brown St,Chicago,IL,60617
Betty,Betty,28,Software Engineer,6983-8461-6483-1843,Oxford St,Chicago,IL,60620
Charles,Charles,35,Sales,4546-1796-4946-1431,Maxwell St,Chicago ,IL,60618
Daniel,Daniel,42,Manager,7856-1943-6843-1673,Brown St,Chicago,IL,60617
Elizabeth,Elizabeth,44,HomeMaker,4858-5816-4894-1684,Eastman St,Chicago,IL,60616
James,James,26,Manager,5465-6826-8894-6695,Hamburg St,Chicago,IL,60617
John,John,24,Sales,2455-5754-7585-8000,"49, Oxford st",Chicago,IL,60616
Lisa,Lisa,55,Principal,5543-5862-3446-3466,"24, Denoven st",Chicago,IL,60617
Manager,William,31,Manager,4848-5654-4831-5657,Julian ST,Chicago,IL,60617
Manager1,Linda,35,Manager,5648-6485-4925-5463,Miller St,Chicago,IL,60616
Mark,Mark,28,Teacher,4894-1589-1456-2535,Denoven St,Chicago,IL,60618
Mary,Mary,28,Accountant,5566-4992-5956-9634,Maxwell st,Chicago,IL,60615
Matthew,Matthew,33,Accountant,5443-3495-1843-1843,cornell st,Chicago,IL,60618
Paul,Paul,32,Engineer,6489-1425-4523-1843,Hamburg St,Chicago,IL,60615
Sales,Jennifer,28,Sales,6848-6435-6543-4843,Dodge St,Chicago,IL,60618
Sales1,Richard,29,Sales,4986-6189-1846-1849,cook St,Chicago,IL,60615
Sandra,Sandra,25,Software Engineer,4598-1434-8531-1642,Dodge St,Chicago,IL,60620
Sarah,Sarah,26,Engineer,6684-4494-1493-8943,Mather St,Chicago,IL,60619
Thomas,Thomas,45,Manager,4846-1606-4960-6746,Dodge St,Chicago,IL,60619
